route,source_file,content_id,kind,English,Español,中文,notes
(all pages via t()),src/i18n/messages/*.ts,home.intro.physicalWorld,i18n,Physical World,Mundo físico,物质世界,
(all pages via t()),src/i18n/messages/*.ts,home.intro.asraName,i18n,ASra,ASra,ASra,
(all pages via t()),src/i18n/messages/*.ts,home.intro.asraFull,i18n,Association of Spirit Realm's Ambassador,Asociación del Embajador del Reino Espiritual,灵界大使协会,
(all pages via t()),src/i18n/messages/*.ts,home.intro.asraBody,i18n,"Tens of thousands of human members distributed across all nations, ethnicities, and cultural communities worldwide. Empowered by Master Spirits, each member governs attached spirits and improves human health.","Decenas de miles de miembros humanos en todas las naciones, etnias y comunidades culturales. Empoderados por Maestros Espirituales, cada miembro gobierna espíritus adheridos y mejora la salud humana.",数以万计的人类会员遍布各国、各族群与各文化社群。在高级灵体赋能下，每位会员治理附体灵并改善人类健康。,
(all pages via t()),src/i18n/messages/*.ts,home.intro.spiritRealm,i18n,Spirit Realm,Reino espiritual,灵界,
(all pages via t()),src/i18n/messages/*.ts,home.intro.smscName,i18n,SMSC,SMSC,SMSC,
(all pages via t()),src/i18n/messages/*.ts,home.intro.smscFull,i18n,Society of Master Spirit Controllers,Sociedad de controladores Maestros Espirituales,高级灵体统御者协会,
(all pages via t()),src/i18n/messages/*.ts,home.intro.smscBody,i18n,Tens of thousands of Master Spirits — administrators in the Spirit Realm who govern ordinary spirits and human beings. Each Master Spirit is assigned 1:1 or 2:1 to an ASra human member.,Decenas de miles de Maestros Espirituales — administradores en el Reino Espiritual que gobiernan espíritus ordinarios y seres humanos. A cada Maestro Espiritual se le asigna 1:1 o 2:1 un miembro humano de ASra.,数以万计的高级灵体——灵界的管理者，治理普通灵体与人类。每位高级灵体与一名 ASra 人类会员形成 1:1 或 2:1 配对。,
(all pages via t()),src/i18n/messages/*.ts,home.intro.learnMore,i18n,✦   Full Organization Introduction   ✦,✦   Introducción completa de la organización   ✦,✦   完整组织介绍   ✦,
(all pages via t()),src/i18n/messages/*.ts,home.truth.title,i18n,The Truth of Spirit,La verdad del espíritu,灵的真相,
(all pages via t()),src/i18n/messages/*.ts,home.truth.subtitle,i18n,And Its Governor,Y su gobernante,及其主宰,
(all pages via t()),src/i18n/messages/*.ts,home.truth.seriesLabel,i18n,Documentary Series,Serie documental,纪录片系列,
(all pages via t()),src/i18n/messages/*.ts,home.truth.abstractHeading,i18n,Abstract: The Truth We Found,Resumen: la verdad que encontramos,摘要：我们发现的真相,
(all pages via t()),src/i18n/messages/*.ts,home.truth.abstractBody,i18n,"Through systematic exploration and firsthand experiential evidence, we have verified scientific methodologies to safely navigate and govern the unseen realm. The Woos Ethereal Life & Realm Documentary Series reveals it all.","Mediante exploración sistemática y evidencia experiencial de primera mano, hemos verificado metodologías científicas para navegar y gobernar con seguridad el reino invisible. La serie documental Woos Ethereal Life & Realm lo revela todo.",通过系统探索与第一手体验证据，我们验证了可安全航行并治理不可见之域的科学方法。《伍斯灵界生命与领域》纪录片系列揭示这一切。,
(all pages via t()),src/i18n/messages/*.ts,home.truth.videoTitle,i18n,Video Document Series,Serie de video documental,视频纪录系列,
(all pages via t()),src/i18n/messages/*.ts,home.truth.videoSubtitle,i18n,Journey across multiple dimensions and uncover the ancient truths spanning three seasons of dedicated research.,Recorre múltiples dimensiones y descubre verdades antiguas a lo largo de tres temporadas de investigación dedicada.,穿越多重维度，揭开三季专注研究中绵延的古老真相。,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s1.season,i18n,SEASON 1,TEMPORADA 1,第一季,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s1.title,i18n,Woos Record of Soul,Woos Registro del alma,伍斯灵魂档案,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s1.description,i18n,"Collecting all true scientific research materials from East and West regarding spirits, PSI, NDE, past-life memories, and other topics related to spirits and the Ethereal Realm. With personal possession, supernatural and spirit-exorcism experiences.","Reúne materiales científicos verificables de Oriente y Occidente sobre espíritus, PSI, experiencias cercanas a la muerte, memorias de vidas pasadas y otros temas del reino etéreo, con experiencias personales de posesión, fenómenos sobrenaturales y exorcismo.",汇集东西方关于灵体、超感知、濒死体验、前世记忆等与灵及灵界相关的真实科研材料，附个人附体、灵异与驱灵经历。,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s1.cta,i18n,Explore Season I,Explorar temporada I,进入第一季,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s2.season,i18n,SEASON 2,TEMPORADA 2,第二季,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s2.title,i18n,Woos Spirit Medicine,Woos Medicina espiritual,伍斯灵体医学,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s2.description,i18n,"This documentary provides the evidence of spirits and ghosts existing while people are alive and after death from scientific perspective and causing illness to the physical body. The organs, physiological systems, and basic pathology of spirits.","Este documental presenta evidencia, desde una perspectiva científica, de espíritus y fantasmas en vida y tras la muerte, y cómo causan enfermedad al cuerpo físico: órganos, sistemas fisiológicos y patología básica de los espíritus.",从科学视角呈现生者与亡者之灵存在的证据，及其如何致病于肉体：灵体的器官、生理系统与基本病理。,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s2.cta,i18n,Explore Season II,Explorar temporada II,进入第二季,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s3.season,i18n,SEASON 3,TEMPORADA 3,第三季,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s3.title,i18n,Universal Matrix of Meta Awareness,Matriz universal de meta-conciencia,元觉知宇宙矩阵,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s3.description,i18n,"This documentary presents evidence for the existence of the Universal Matrix of Meta Awareness. It controls human free consciousness, the evolution of life on Earth, and the ultimate destiny of human civilization.","Este documental presenta evidencia de la existencia de la Matriz Universal de Meta-Conciencia: controla la conciencia libre humana, la evolución de la vida en la Tierra y el destino último de la civilización.",呈现元觉知宇宙矩阵存在的证据：它调控人类自由意识、地球生命的演化与人类文明的终极命运。,
(all pages via t()),src/i18n/messages/*.ts,home.truth.s3.cta,i18n,Explore Season III,Explorar temporada III,进入第三季,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.title,i18n,2025 Livestream Achievements,Logros en vivo 2025,2025 直播成果,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.subtitle,i18n,TikTok field · YouTube replay archive · ASra,Campo TikTok · Archivo en YouTube · ASra,TikTok 现场 · YouTube 回放档案 · ASra,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.lead,i18n,"For the first time, humanity has a systematic, field-scale picture of how American spirits (ghosts) attach, what they forget, and how they intersect with treatment-resistant mental-health presentations — documented through anonymized charity sessions and replay archives.","Por primera vez la humanidad dispone de una visión sistemática en campo sobre cómo se adhieren los espíritus estadounidenses (fantasmas), qué olvidan y cómo se cruzan con cuadros mentales refractarios al tratamiento — documentado en sesiones benéficas anónimas y archivos de repetición.",人类首次获得系统化、田野尺度的图景：美国灵体（鬼）如何附体、它们忘却什么、又如何与难治性精神健康表现相交——经由匿名慈善场次与回放档案记录。,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.card1Title,i18n,Scale in one year,Escala en un año,一年内的规模,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.card1Body,i18n,"255+ charity livestreams, 800+ hours on TikTok, 70,000+ listeners reached, 1,200+ deep interviews, 240+ patients improved, ~400 spirits (ghosts) manifested — anonymized cohort with structured replay documentation on YouTube.","Más de 255 transmisiones benéficas, más de 800 horas en TikTok, más de 70.000 oyentes, más de 1.200 entrevistas en profundidad, más de 240 pacientes mejorados, ~400 espíritus manifestados — cohorte anónima con repeticiones documentadas en YouTube.","255+ 场慈善直播、800+ 小时 TikTok、70,000+ 听众、1,200+ 深度访谈、240+ 来访者改善、约 400 次灵体显化——匿名队列，YouTube 上有结构化回放记录。",
(all pages via t()),src/i18n/messages/*.ts,home.achievements.card2Title,i18n,What the full dossier contains,Qué incluye el expediente,完整档案包含,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.card2Body,i18n,"Memory & control infographics, fascinating attachment capsules, master-spirit manifestations, clinical-style condition taxonomy, dual livestream techniques, >80% rapid relief outcomes, in-session experiments, and four special case studies.","Infografías de memoria y control, casos de apego, manifestaciones de maestros, taxonomía clínica, dos técnicas en vivo, alivio rápido en >80 % de los casos, experimentos en sesión y cuatro estudios de caso especiales.",记忆与调控信息图、附体个案摘要、高级灵显化、临床式症状分类、双轨直播技术、>80% 快速缓解、会话内实验与四项特别案例研究。,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.ctaIntro,i18n,"Open the 2025 report: gallery, animated metrics, medical workflow, and case studies.","Abrir el informe 2025: galería, métricas animadas, flujo clínico y casos.",打开 2025 报告：画廊、动效指标、医疗流程与案例。,
(all pages via t()),src/i18n/messages/*.ts,home.achievements.cta,i18n,✦   View: 2025 Livestream Achievements   ✦,✦   Ver: logros en vivo 2025   ✦,✦   查看：2025 直播成果   ✦,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.badge,i18n,Field documentation · ASra practice,Documentación de campo · Práctica ASra,田野记录 · ASra 实践,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.title,i18n,Our Achievements in Mental Health Support,Nuestros logros en apoyo a la salud mental,我们在心理健康支持中的成果,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.subtitle,i18n,"A structured summary of anonymized, live-session outcomes coordinated with Master Spirit teams in China and the United States — written in a clinical reporting style for transparency.","Resumen estructurado de resultados anónimos en sesiones en vivo, coordinados con equipos de Maestros Espirituales en China y Estados Unidos — redactado al estilo de informes clínicos para transparencia.",对匿名、现场会话结果的结构性摘要，与中美高级灵体团队协同——以临床报告风格撰写以利透明。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.pill1,i18n,Anonymized cohort,Cohorte anónima,匿名队列,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.pill2,i18n,Session-based metrics,Métricas por sesión,按会话统计,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.hero.pill3,i18n,Cross-realm collaboration,Colaboración transreino,跨界协作,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.scope.title,i18n,Practice context & methodology,Contexto de la práctica y metodología,实践背景与方法,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.scope.body,i18n,"During approximately the past year of TikTok live broadcasts, participants arrived as anonymous, randomly presenting individuals without prior triage. Each encounter used a consistent initial window of thirty minutes for structured exchange, assessment, and spirit-realm–assisted regulation. Outcomes below combine session documentation with participant self-reports; they are presented to illustrate the breadth of the practice rather than as a substitute for peer-reviewed clinical trials.","Durante aproximadamente el último año de transmisiones en vivo en TikTok, los participantes llegaron de forma anónima y aleatoria, sin triaje previo. Cada encuentro usó una ventana inicial uniforme de treinta minutos para intercambio estructurado, evaluación y regulación asistida desde el reino espiritual. Los resultados combinan documentación de sesión con autoinformes; se presentan para ilustrar el alcance de la práctica, no como sustituto de ensayos clínicos revisados por pares.",在过去约一年的 TikTok 直播中，参与者以匿名、随机到场的方式进入，无事先分诊。每次接触均使用统一的首个三十分钟窗口，进行结构化交流、评估与灵界辅助调节。下列结果合并了会话记录与参与者自述；旨在展示实践广度，而非替代同行评审临床试验。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.scope.caption,i18n,"Listening, dignity, and steadiness in every first contact.","Escucha, dignidad y firmeza en cada primer contacto.",每一次首次接触中的倾听、尊严与稳定。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.banner.together,i18n,Behind every figure is a real person seeking relief — and a community of practitioners holding space for change.,Tras cada cifra hay una persona real que busca alivio — y una comunidad que sostiene el espacio para el cambio.,每个数字背后都是在寻求缓解的真实的人——以及为改变托住空间的社群。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat1.value,i18n,240+,240+,240+,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat1.label,i18n,"Individuals with mental-health–related presentations engaged through the live program (cumulative, ~one year).","Personas con presentaciones relacionadas con la salud mental atendidas en el programa en vivo (acumulado, ~un año).",通过直播项目接触到的与精神健康相关表现者（累计，约一年）。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat2.value,i18n,80%+,80%+,80%+,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat2.label,i18n,"Reported rapid, marked improvement in emotional state and overall condition after the first 30-minute structured session.",Informaron mejora rápida y marcada del estado emocional y general tras la primera sesión estructurada de 30 minutos.,在首次 30 分钟结构化会话后，报告情绪与整体状态快速、显著改善。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat3.value,i18n,1×,1×,1×,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.stat3.label,i18n,"A notable subset describe complete symptomatic resolution or long-term stability after a single intensive session, with no recurrence reported to date (participant-described).","Un subgrupo notable describe resolución sintomática completa o estabilidad a largo plazo tras una sola sesión intensiva, sin recurrencia informada hasta la fecha (según participantes).",值得注意的一部分人称：在一次强化会话后即达症状完全缓解或长期稳定，至今无复发（参与者自述）。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.conditions.title,i18n,Presentations & condition categories addressed,Presentaciones y categorías de condiciones abordadas,所涉及的主诉与症状类别,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.conditions.caption,i18n,Taxonomy (non-exhaustive),Taxonomía (no exhaustiva),分类（非穷尽）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.conditions.list,i18n,Major depressive disorder and persistent depressive presentations · Generalized and panic spectrum anxiety · Post-traumatic stress disorder (PTSD) · Schizophrenia spectrum · Schizoaffective disorder · Bipolar spectrum · Dissociative identity disorder (DID) · Social anxiety / social phobia · Driving phobia · Attention-deficit hyperactivity disorder (ADHD) · Obsessive–compulsive disorder (OCD),Trastorno depresivo mayor y presentaciones depresivas persistentes · Ansiedad generalizada y espectro de pánico · Trastorno de estrés postraumático (TEPT) · Espectro de la esquizofrenia · Trastorno esquizoafectivo · Espectro bipolar · Trastorno disociativo de la identidad (TID) · Ansiedad social / fobia social · Fobia a conducir · Trastorno por déficit de atención e hiperactividad (TDAH) · Trastorno obsesivo-compulsivo (TOC),重度抑郁及持续性抑郁表现 · 广泛性焦虑与惊恐谱系 · 创伤后应激障碍（PTSD） · 精神分裂症谱系 · 分裂情感性障碍 · 双相谱系 · 分离性身份障碍（DID） · 社交焦虑 / 社交恐惧 · 驾驶恐惧 · 注意缺陷多动障碍（ADHD） · 强迫症（OCD）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.cases.title,i18n,Highlighted case narratives,Historias de casos destacadas,重点案例叙事,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.cases.note,i18n,"Condensed, anonymized summaries for readability; identifiers and timelines adjusted to protect privacy.",Resúmenes condensados y anonimizados; identificadores y cronologías ajustados para proteger la privacidad.,为可读性压缩的匿名摘要；识别信息与时间线已调整以保护隐私。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.did.title,i18n,DID — 30+ reported identity facets,TID — más de 30 facetas identitarias informadas,DID — 报告 30+ 身份面向,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.did.body,i18n,"A woman with severe dissociative fragmentation (more than thirty distinct identity facets reported). After systematic regulation and internal harmonization, all facets were described as co-existing cooperatively; host-level distress and switching burden were substantially reduced.","Mujer con fragmentación disociativa grave (más de treinta facetas distintas). Tras regulación sistemática e integración interna, se describió la coexistencia cooperativa de las facetas; se redujo notablemente el sufrimiento del anfitrión y la carga del cambio.",一名严重分离碎裂的女性（报告三十余个不同身份面向）。经系统调节与内部整合后，各面向被描述为合作共存；宿主痛苦与切换负担显著减轻。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.cult.title,i18n,Survivor of high-control ideological abuse,Superviviente de abuso ideológico de alto control,高控制意识形态虐待幸存者,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.cult.body,i18n,An individual exiting coercive group influence and medium-channel imprinting. Intervention targeted residual cultic and “spirit-medium” attachments described as negative spiritual load; subjective clearance of those influences was reported.,Persona que sale de influencia coercitiva de grupo e impronta de canalización mediúmnica. La intervención se centró en apegos residuales descritos como carga espiritual negativa; se informó su disolución subjetiva.,脱离强制性团体影响与灵媒印痕者。干预针对残留的邪教式与“灵媒”附体，描述为负面灵性负荷；报告称主观上已清除。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.depression.title,i18n,Treatment-resistant depression (>40 years),Depresión resistente al tratamiento (>40 años),难治性抑郁（>40 年）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.depression.body,i18n,"Long-standing depressive illness without durable relief from conventional routes. A single 30-minute intensive session was associated with reported remission-like relief of mood and energy, with stability maintained afterward without relapse.","Depresión de larga data sin alivio duradero por vías convencionales. Una sola sesión intensiva de 30 minutos se asoció con alivio similar a la remisión del ánimo y la energía, con estabilidad posterior sin recaídas informadas.",长年抑郁，常规路径未见持久缓解。单次 30 分钟强化会话后，报告称情绪与精力呈缓解样改善，此后保持稳定、无复发报告。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.ptsd.title,i18n,Complex PTSD (>33 years),TEPT complejo (>33 años),复杂性 PTSD（>33 年）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.ptsd.body,i18n,Decades-long trauma imprint and hypervigilance. One focused regulatory session was described as fully processing the traumatic residue; the participant reported that the trauma “no longer occupied” their lived experience.,"Huella traumática e hipervigilancia durante décadas. Una sesión regulatoria enfocada procesó por completo, según el participante, el residuo traumático; informó que el trauma «ya no ocupaba» su experiencia vivida.",数十年创伤印痕与过度警觉。一次聚焦调节会话后，参与者称创伤残留已“不再占据”其生活体验。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.psychosis.title,i18n,Severe schizophrenia with possessory steering,Esquizofrenia grave con dirección posesoria,重度分裂症伴附体操控,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.psychosis.body,i18n,"A malignant alter / possessory pattern reportedly directing major life decisions. Across roughly one month of layered suppression protocol, the intrusive entity influence was heavily dampened; positive and negative symptoms were reported to fall to a manageable baseline.","Patrón alter / posesorio que dirigía decisiones vitales. En ~un mes de supresión por capas, la influencia intrusiva se atenuó fuertemente; los síntomas positivos y negativos pasaron a un nivel manejable según el informe.",报告称恶意他我 / 附体模式主导重大人生决定。约一个月分层抑制后，侵扰性灵体影响大幅减弱；阳性与阴性症状回落至可管理基线。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.somatization.title,i18n,Residential field disturbance + severe somatization,Perturbación del campo en el hogar + somatización grave,住宅场域扰动 + 严重躯体化,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.case.somatization.body,i18n,Frequent anomalous activity in the home environment together with intense somatic symptom clusters. Field-level cleansing and attachment suppression paralleled a large reduction in bodily distress and functional limitation.,Actividad anómala frecuente en el hogar junto con clusters somáticos intensos. Limpieza a nivel de campo y supresión de apegos coincidieron con una gran reducción del malestar corporal y la limitación funcional.,家中频繁异象伴随强烈躯体症状群。场域级清理与附体抑制并行，身体痛苦与功能受限显著减轻。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.team.title,i18n,Master Spirit collaboration (China & United States),Colaboración con Maestros Espirituales (China y Estados Unidos),高级灵体协作（中国与美国）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.team.body,i18n,"The interventions summarized here are attributed to coordinated work with a large trans-Pacific Master Spirit collective. Master Spirits function as senior administrators in the Spirit Realm; their role in these sessions was to execute technical regulation, containment, and informational alignment alongside the human-facing dialogue.","Las intervenciones aquí resumidas se atribuyen al trabajo coordinado de un gran colectivo transpacífico de Maestros Espirituales, administradores senior en el Reino Espiritual, que ejecutaron regulación técnica, contención y alineación informativa junto al diálogo humano.",此处摘要的干预归因于庞大的跨太平洋高级灵体集体的协同工作。高级灵体是灵界资深管理者；在这些会话中负责与人类对话并行执行技术调控、包容与信息对齐。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.team.body2,i18n,"In later phases of care, Master Spirits increasingly disclosed presence directly. Each participant received individualized revelatory information appropriate to their trajectory — strengthening continuity between ethereal governance and lived recovery.","En fases posteriores, los Maestros Espirituales revelaron con mayor frecuencia su presencia. Cada participante recibió información reveladora individualizada, reforzando la continuidad entre gobierno etéreo y recuperación vivida.",在后期照护中，高级灵体更频繁地直接显露存在。每位参与者获得适合其轨迹的启示性信息——强化灵界治理与现实康复之间的连续性。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.phenomenology.title,i18n,Phenomenological correlates (late-phase reports),Correlatos fenomenológicos (informes de fase tardía),现象学相关（后期报告）,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.phenomenology.body,i18n,"Some participants described luminous or angelic presence and a felt sense of protective arrival. Others reported encounter with the divine designation “Elohim” and received directive guidance, which they associated with a durable uplift in meaning, agency, and overall life stance.","Algunos participantes describieron presencia luminosa o angélica y sensación de llegada protectora. Otros informaron el encuentro con la designación divina «Elohim» y orientación directiva, asociada con un alza duradera en sentido, agencia y postura vital.",部分参与者描述光明或天使般的临在与被保护抵达之感。另一些人报告遭遇神圣名号“Elohim”并接受指引，将其与意义感、能动性以及整体人生姿态的持久提升相连。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.closing.title,i18n,This is only the beginning,Esto es solo el comienzo,这仅仅是开始,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.closing.body,i18n,The figures and stories above are the visible tip of a much larger iceberg — an opening chapter for the Association of Spirit Realm’s Ambassador (ASra).,Las cifras e historias anteriores son la punta visible de un iceberg mucho mayor — un capítulo inicial de la Asociación del Embajador del Reino Espiritual (ASra).,上述数字与故事只是更大冰山可见的一角——灵界大使协会（ASra）的开篇。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.closing.body2,i18n,"Your participation can open the same class of transformative trajectory: measurable subjective shift, structured spirit-realm support, and a journey whose scale grows with the community.","Tu participación puede abrir la misma clase de trayectoria transformadora: cambio subjetivo medible, apoyo estructurado del reino espiritual y un viaje cuya escala crece con la comunidad.",你的参与可以打开同类变革轨迹：可测量的主观转变、结构化的灵界支持，以及随社群共同放大的旅程。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.disclaimer,i18n,"This page describes experiential and session-documented outcomes from a specific spiritual–therapeutic practice. It is not medical advice, not a randomized controlled trial, and does not replace diagnosis or care by licensed professionals. Terminology aligns with common clinical labels for reader orientation only.","Esta página describe resultados experienciales y documentados en sesión de una práctica espiritual-terapéutica específica. No es consejo médico, no es un ensayo controlado aleatorizado y no sustituye el diagnóstico o la atención de profesionales titulados. La terminología sigue etiquetas clínicas comunes solo como orientación.",本页描述特定灵性—疗愈实践中基于体验与会话记录的结果。非医疗建议，非随机对照试验，也不能替代持证专业人员的诊断或照护。术语仅借常见临床标签帮助读者理解。,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.backHome,i18n,← Back to Home,← Volver al inicio,← 返回首页,
(all pages via t()),src/i18n/messages/*.ts,achievementsPage.ctaJoin,i18n,✦   Apply / Join   ✦,✦   Solicitar / Unirse   ✦,✦   申请 / 加入   ✦,
(all pages via t()),src/i18n/messages/*.ts,home.join.title,i18n,Join & Participate,Únete y participa,加入与参与,
(all pages via t()),src/i18n/messages/*.ts,home.join.subtitle,i18n,Your Ethereal Journey Begins,Tu viaje etéreo comienza,你的灵界旅程由此开始,
(all pages via t()),src/i18n/messages/*.ts,home.join.body,i18n,"Become a part of the Spirit Ambassador Association. Whether you seek guidance, wish to share your journey, or want to join our team of administrators — your ethereal life begins here.","Forma parte de la Asociación de Embajadores del Reino Espiritual. Si buscas orientación, compartir tu camino o unirte al equipo de administradores — tu vida etérea comienza aquí.",成为灵界大使协会的一员。无论你寻求指引、希望分享旅程，或想加入管理者团队——你的灵性生活从这里开始。,
(all pages via t()),src/i18n/messages/*.ts,home.join.cta,i18n,✦   Visit: Join Us   ✦,✦   Visitar: Únete   ✦,✦   访问：加入我们   ✦,
(all pages via t()),src/i18n/messages/*.ts,common.files,i18n,Files,Archivos,档案,
(all pages via t()),src/i18n/messages/*.ts,common.subChapters,i18n,Sub-chapters,Subcapítulos,子章节,
(all pages via t()),src/i18n/messages/*.ts,common.series,i18n,Series,Serie,系列,
(all pages via t()),src/i18n/messages/*.ts,common.fileIndex,i18n,File Index,Índice de archivos,档案索引,
(all pages via t()),src/i18n/messages/*.ts,common.episodeIndex,i18n,Episode Index,Índice de episodios,集数索引,
