key,English (en),Español (es),中文 (zh),notes
achievementsPage.conditions.list,Major depressive disorder and persistent depressive presentations · Generalized and panic spectrum anxiety · Post-traumatic stress disorder (PTSD) · Schizophrenia spectrum · Schizoaffective disorder · Bipolar spectrum · Dissociative identity disorder (DID) · Social anxiety / social phobia · Driving phobia · Attention-deficit hyperactivity disorder (ADHD) · Obsessive–compulsive disorder (OCD),Trastorno depresivo mayor y presentaciones depresivas persistentes · Ansiedad generalizada y espectro de pánico · Trastorno de estrés postraumático (TEPT) · Espectro de la esquizofrenia · Trastorno esquizoafectivo · Espectro bipolar · Trastorno disociativo de la identidad (TID) · Ansiedad social / fobia social · Fobia a conducir · Trastorno por déficit de atención e hiperactividad (TDAH) · Trastorno obsesivo-compulsivo (TOC),重度抑郁及持续性抑郁表现 · 广泛性焦虑与惊恐谱系 · 创伤后应激障碍（PTSD） · 精神分裂症谱系 · 分裂情感性障碍 · 双相谱系 · 分离性身份障碍（DID） · 社交焦虑 / 社交恐惧 · 驾驶恐惧 · 注意缺陷多动障碍（ADHD） · 强迫症（OCD）,
achievementsPage.cases.title,Highlighted case narratives,Historias de casos destacadas,重点案例叙事,
achievementsPage.cases.note,"Condensed, anonymized summaries for readability; identifiers and timelines adjusted to protect privacy.",Resúmenes condensados y anonimizados; identificadores y cronologías ajustados para proteger la privacidad.,为可读性压缩的匿名摘要；识别信息与时间线已调整以保护隐私。,
achievementsPage.case.did.title,DID — 30+ reported identity facets,TID — más de 30 facetas identitarias informadas,DID — 报告 30+ 身份面向,
achievementsPage.case.did.body,"A woman with severe dissociative fragmentation (more than thirty distinct identity facets reported). After systematic regulation and internal harmonization, all facets were described as co-existing cooperatively; host-level distress and switching burden were substantially reduced.","Mujer con fragmentación disociativa grave (más de treinta facetas distintas). Tras regulación sistemática e integración interna, se describió la coexistencia cooperativa de las facetas; se redujo notablemente el sufrimiento del anfitrión y la carga del cambio.",一名严重分离碎裂的女性（报告三十余个不同身份面向）。经系统调节与内部整合后，各面向被描述为合作共存；宿主痛苦与切换负担显著减轻。,
achievementsPage.case.cult.title,Survivor of high-control ideological abuse,Superviviente de abuso ideológico de alto control,高控制意识形态虐待幸存者,
achievementsPage.case.cult.body,An individual exiting coercive group influence and medium-channel imprinting. Intervention targeted residual cultic and “spirit-medium” attachments described as negative spiritual load; subjective clearance of those influences was reported.,Persona que sale de influencia coercitiva de grupo e impronta de canalización mediúmnica. La intervención se centró en apegos residuales descritos como carga espiritual negativa; se informó su disolución subjetiva.,脱离强制性团体影响与灵媒印痕者。干预针对残留的邪教式与“灵媒”附体，描述为负面灵性负荷；报告称主观上已清除。,
achievementsPage.case.depression.title,Treatment-resistant depression (>40 years),Depresión resistente al tratamiento (>40 años),难治性抑郁（>40 年）,
achievementsPage.case.depression.body,"Long-standing depressive illness without durable relief from conventional routes. A single 30-minute intensive session was associated with reported remission-like relief of mood and energy, with stability maintained afterward without relapse.","Depresión de larga data sin alivio duradero por vías convencionales. Una sola sesión intensiva de 30 minutos se asoció con alivio similar a la remisión del ánimo y la energía, con estabilidad posterior sin recaídas informadas.",长年抑郁，常规路径未见持久缓解。单次 30 分钟强化会话后，报告称情绪与精力呈缓解样改善，此后保持稳定、无复发报告。,
achievementsPage.case.ptsd.title,Complex PTSD (>33 years),TEPT complejo (>33 años),复杂性 PTSD（>33 年）,
achievementsPage.case.ptsd.body,Decades-long trauma imprint and hypervigilance. One focused regulatory session was described as fully processing the traumatic residue; the participant reported that the trauma “no longer occupied” their lived experience.,"Huella traumática e hipervigilancia durante décadas. Una sesión regulatoria enfocada procesó por completo, según el participante, el residuo traumático; informó que el trauma «ya no ocupaba» su experiencia vivida.",数十年创伤印痕与过度警觉。一次聚焦调节会话后，参与者称创伤残留已“不再占据”其生活体验。,
achievementsPage.case.psychosis.title,Severe schizophrenia with possessory steering,Esquizofrenia grave con dirección posesoria,重度分裂症伴附体操控,
achievementsPage.case.psychosis.body,"A malignant alter / possessory pattern reportedly directing major life decisions. Across roughly one month of layered suppression protocol, the intrusive entity influence was heavily dampened; positive and negative symptoms were reported to fall to a manageable baseline.","Patrón alter / posesorio que dirigía decisiones vitales. En ~un mes de supresión por capas, la influencia intrusiva se atenuó fuertemente; los síntomas positivos y negativos pasaron a un nivel manejable según el informe.",报告称恶意他我 / 附体模式主导重大人生决定。约一个月分层抑制后，侵扰性灵体影响大幅减弱；阳性与阴性症状回落至可管理基线。,
achievementsPage.case.somatization.title,Residential field disturbance + severe somatization,Perturbación del campo en el hogar + somatización grave,住宅场域扰动 + 严重躯体化,
achievementsPage.case.somatization.body,Frequent anomalous activity in the home environment together with intense somatic symptom clusters. Field-level cleansing and attachment suppression paralleled a large reduction in bodily distress and functional limitation.,Actividad anómala frecuente en el hogar junto con clusters somáticos intensos. Limpieza a nivel de campo y supresión de apegos coincidieron con una gran reducción del malestar corporal y la limitación funcional.,家中频繁异象伴随强烈躯体症状群。场域级清理与附体抑制并行，身体痛苦与功能受限显著减轻。,
achievementsPage.team.title,Master Spirit collaboration (China & United States),Colaboración con Maestros Espirituales (China y Estados Unidos),高级灵体协作（中国与美国）,
achievementsPage.team.body,"The interventions summarized here are attributed to coordinated work with a large trans-Pacific Master Spirit collective. Master Spirits function as senior administrators in the Spirit Realm; their role in these sessions was to execute technical regulation, containment, and informational alignment alongside the human-facing dialogue.","Las intervenciones aquí resumidas se atribuyen al trabajo coordinado de un gran colectivo transpacífico de Maestros Espirituales, administradores senior en el Reino Espiritual, que ejecutaron regulación técnica, contención y alineación informativa junto al diálogo humano.",此处摘要的干预归因于庞大的跨太平洋高级灵体集体的协同工作。高级灵体是灵界资深管理者；在这些会话中负责与人类对话并行执行技术调控、包容与信息对齐。,
achievementsPage.team.body2,"In later phases of care, Master Spirits increasingly disclosed presence directly. Each participant received individualized revelatory information appropriate to their trajectory — strengthening continuity between ethereal governance and lived recovery.","En fases posteriores, los Maestros Espirituales revelaron con mayor frecuencia su presencia. Cada participante recibió información reveladora individualizada, reforzando la continuidad entre gobierno etéreo y recuperación vivida.",在后期照护中，高级灵体更频繁地直接显露存在。每位参与者获得适合其轨迹的启示性信息——强化灵界治理与现实康复之间的连续性。,
achievementsPage.phenomenology.title,Phenomenological correlates (late-phase reports),Correlatos fenomenológicos (informes de fase tardía),现象学相关（后期报告）,
achievementsPage.phenomenology.body,"Some participants described luminous or angelic presence and a felt sense of protective arrival. Others reported encounter with the divine designation “Elohim” and received directive guidance, which they associated with a durable uplift in meaning, agency, and overall life stance.","Algunos participantes describieron presencia luminosa o angélica y sensación de llegada protectora. Otros informaron el encuentro con la designación divina «Elohim» y orientación directiva, asociada con un alza duradera en sentido, agencia y postura vital.",部分参与者描述光明或天使般的临在与被保护抵达之感。另一些人报告遭遇神圣名号“Elohim”并接受指引，将其与意义感、能动性以及整体人生姿态的持久提升相连。,
achievementsPage.closing.title,This is only the beginning,Esto es solo el comienzo,这仅仅是开始,
achievementsPage.closing.body,The figures and stories above are the visible tip of a much larger iceberg — an opening chapter for the Association of Spirit Realm’s Ambassador (ASra).,Las cifras e historias anteriores son la punta visible de un iceberg mucho mayor — un capítulo inicial de la Asociación del Embajador del Reino Espiritual (ASra).,上述数字与故事只是更大冰山可见的一角——灵界大使协会（ASra）的开篇。,
achievementsPage.closing.body2,"Your participation can open the same class of transformative trajectory: measurable subjective shift, structured spirit-realm support, and a journey whose scale grows with the community.","Tu participación puede abrir la misma clase de trayectoria transformadora: cambio subjetivo medible, apoyo estructurado del reino espiritual y un viaje cuya escala crece con la comunidad.",你的参与可以打开同类变革轨迹：可测量的主观转变、结构化的灵界支持，以及随社群共同放大的旅程。,
achievementsPage.disclaimer,"This page describes experiential and session-documented outcomes from a specific spiritual–therapeutic practice. It is not medical advice, not a randomized controlled trial, and does not replace diagnosis or care by licensed professionals. Terminology aligns with common clinical labels for reader orientation only.","Esta página describe resultados experienciales y documentados en sesión de una práctica espiritual-terapéutica específica. No es consejo médico, no es un ensayo controlado aleatorizado y no sustituye el diagnóstico o la atención de profesionales titulados. La terminología sigue etiquetas clínicas comunes solo como orientación.",本页描述特定灵性—疗愈实践中基于体验与会话记录的结果。非医疗建议，非随机对照试验，也不能替代持证专业人员的诊断或照护。术语仅借常见临床标签帮助读者理解。,
achievementsPage.backHome,← Back to Home,← Volver al inicio,← 返回首页,
achievementsPage.ctaJoin,✦   Apply / Join   ✦,✦   Solicitar / Unirse   ✦,✦   申请 / 加入   ✦,
home.join.title,Join & Participate,Únete y participa,加入与参与,
home.join.subtitle,Your Ethereal Journey Begins,Tu viaje etéreo comienza,你的灵界旅程由此开始,
home.join.body,"Become a part of the Spirit Ambassador Association. Whether you seek guidance, wish to share your journey, or want to join our team of administrators — your ethereal life begins here.","Forma parte de la Asociación de Embajadores del Reino Espiritual. Si buscas orientación, compartir tu camino o unirte al equipo de administradores — tu vida etérea comienza aquí.",成为灵界大使协会的一员。无论你寻求指引、希望分享旅程，或想加入管理者团队——你的灵性生活从这里开始。,
home.join.cta,✦   Visit: Join Us   ✦,✦   Visitar: Únete   ✦,✦   访问：加入我们   ✦,
common.files,Files,Archivos,档案,
common.subChapters,Sub-chapters,Subcapítulos,子章节,
common.series,Series,Serie,系列,
common.fileIndex,File Index,Índice de archivos,档案索引,
common.episodeIndex,Episode Index,Índice de episodios,集数索引,
common.indexSummary,{{files}} FILES · {{subs}} SUB-CHAPTERS,{{files}} ARCHIVOS · {{subs}} SUBCAPÍTULOS,{{files}} 个档案 · {{subs}} 个子章节,
common.classifiedFiles,CLASSIFIED FILES,ARCHIVOS CLASIFICADOS,机密档案,
common.comingSoon,Coming Soon,Próximamente,敬请期待,
common.scroll,Scroll,Desplazar,滚动,
common.minutes,Minutes,Minutos,分钟,
common.episodes,Episodes,Episodios,集,
record.archiveSeries,Documentary Archive · Series I,Archivo documental · Serie I,纪录片档案 · 第一季,
record.archivalNote,Archival Note,Nota de archivo,档案说明,
record.endArchive,End of Archive,Fin del archivo,档案结束,
episode.abstract,Abstract,Resumen,摘要,
episode.keyFeatures,Key Features,Aspectos clave,要点,
episode.duration,Duration,Duración,片长,
episode.openDossier,Open Dossier,Abrir expediente,打开卷宗,
episode.closeDossier,Close Dossier,Cerrar expediente,关闭卷宗,
episode.watch,Watch,Ver,观看,
spirit.seriesBadge,Medical Documentary · Series II,Documental médico · Serie II,医学纪录片 · 第二季,
spirit.hero.titleBefore,Woos,Woos,伍斯,
spirit.hero.titleHighlight,Spirit Medicine,Medicina espiritual,灵体医学,
spirit.hero.body,"This documentary scientifically reveals the Human Spirit (Soul) Medicine — organs, physiological systems, and basic pathology of the Spirit (Soul), along with the evidence and pathogenesis of Spirit (Ghost) harm to the human host after death.","Este documental revela científicamente la medicina del espíritu humano (alma) — órganos, sistemas fisiológicos y patología básica del espíritu (alma), junto con la evidencia y la patogenia del daño del espíritu (fantasma) al huésped humano tras la muerte.",本纪录片从科学角度揭示人类灵（魂）体医学——灵的器官、生理系统与基本病理，以及亡后灵（鬼）对人体宿主造成伤害的证据与发病机制。,
spirit.endSeries,End of Series II,Fin de la serie II,第二季结束,
spirit.watchYoutube,Watch on YouTube,Ver en YouTube,在 YouTube 观看,
spirit.openPlaylist,Open full YouTube playlist,Abrir lista de reproducción completa en YouTube,打开完整 YouTube 播放列表,
matrix.seriesBadge,Meta Documentary · Series III,Meta documental · Serie III,元纪录片 · 第三季,
matrix.title,Universal Matrix of Meta Awareness,Matriz universal de meta-conciencia,元觉知宇宙矩阵,
matrix.subtitle,The brain beyond universe,El cerebro más allá del universo,宇宙之外的脑,
matrix.endSeries,End of Series III,Fin de la serie III,第三季结束,
about.hero.badge,Umma New Century Organization,Organización Umma New Century,乌玛新世纪组织,
about.hero.titleLine1,Association of Spirit,Asociación del Embajador,灵界大使,
about.hero.titleLine2,Realm's Ambassador,del Reino Espiritual,协会,
about.hero.pillAsra,Physical World — ASra,Mundo físico — ASra,物质世界 — ASra,
about.hero.pillSmsc,Spirit Realm — SMSC,Reino espiritual — SMSC,灵界 — SMSC,
about.dual.title,The Dual-Domain Structure,Estructura de doble dominio,双域结构,
about.dual.label,One Organization · Two Realms,Una organización · Dos reinos,一个组织 · 两个领域,
about.dual.umbrellaLabel,Umbrella Organization,Organización paraguas,伞形组织,
about.dual.umbrellaSub,New Century of UMMa,Nuevo siglo de UMMa,乌玛的新世纪,
about.card.physicalLabel,Physical World,Mundo físico,物质世界,
about.card.spiritLabel,Spirit Realm,Reino espiritual,灵界,
about.connector.ratio,1:1 or 2:1,1:1 o 2:1,1:1 或 2:1,
about.connector.partnership,Partnership,Colaboración,伙伴关系,
about.how.title,How It Works,Cómo funciona,如何运作,
about.how.label,The ASra · SMSC Partnership Process,Proceso de colaboración ASra · SMSC,ASra · SMSC 协作流程,
about.how.step1.title,Assignment,Asignación,指定,
about.how.step1.body,"Each ASra human member is assigned 1 or 2 dedicated Master Spirits from the SMSC — forming a direct, ongoing partnership across both realms.",A cada miembro humano de ASra se le asignan 1 o 2 Maestros Espirituales dedicados del SMSC — formando una colaboración directa y continua entre ambos reinos.,每位 ASra 人类会员由 SMSC 指定 1 或 2 名专属高级灵体——在双域之间形成直接、持续的伙伴关系。,
about.how.step2.title,Empowerment,Empoderamiento,赋能,
about.how.step2.body,"Through this partnership, human members acquire Class-C special abilities: the power to govern attached spirits and to actively improve human health.","Mediante esta colaboración, los miembros humanos adquieren habilidades especiales de clase C: el poder de gobernar espíritus adheridos y mejorar activamente la salud humana.",通过该伙伴关系，人类会员获得 C 级特殊能力：治理附体灵并主动改善人类健康。,
about.how.step3.title,Mission,Misión,使命,
about.how.step3.body,"Empowered members serve as ambassadors — spreading the truth of the Spirit Realm and spirit life entities to the world, and leading humanity toward the New Century.","Los miembros empoderados sirven como embajadores — difundiendo la verdad del Reino Espiritual y de las entidades de vida espiritual, y guiando a la humanidad hacia el Nuevo Siglo.",被赋能的会员作为大使——向世界传播灵界与灵命实体的真相，并引领人类迈向新世纪。,
about.founders.title,The Founders,Los fundadores,创始者,
about.founders.label,Chief Ambassadors & Coordinators,Embajadores jefes y coordinadores,首席大使与协调者,
about.founders.woos,The Woos,Los Woos,伍斯家族,
about.founders.fatherSon,Father & Son,Padre e hijo,父子,
about.founders.storyCta,✦  Read founder story (2026 outline)  ✦,✦  Leer historia fundacional (2026)  ✦,✦  阅读创始故事（2026 纲要）  ✦,
nav.founderStory,Founder story,Historia fundacional,创始故事,
about.missions.title,Member Mission & Obligations,Misión y obligaciones de los miembros,会员使命与义务,
about.missions.label,ASra Members' Two Sacred Duties,Los dos deberes sagrados de los miembros de ASra,ASra 会员的两项神圣职责,
about.cta.title,Ready to Join ASra?,¿Listo para unirte a ASra?,准备好加入 ASra 了吗？,
about.cta.subtitle,Lead Humanity into the New Century,Guía a la humanidad hacia el Nuevo Siglo,引领人类进入新世纪,
about.cta.button,✦   Visit: Apply to Join   ✦,✦   Visitar: Solicitud de ingreso   ✦,✦   访问：申请加入   ✦,
